10.55.35.59 udm_exy9-ccpc-5gdmc-0001
10.55.60.243 udm_hny9-ccpc-5gdmc-0001
10.55.84.171 udm_ldy9-ccpc-5gdmc-0001
10.55.88.123 udm_cjy9-ccpc-5gdmc-0001
10.55.247.52 udm_pny9-ccpc-5gdmc-0001
10.55.88.123 udm_pny9-ccpc-5gdmc-0002
10.55.245.175 ausf_pny9-ccsm-5gdmc-0001
10.55.228.39 ausf_pny9-ccsm-5gdmc-0002
10.55.88.127 ausf_cjy9-ccsm-5gdmc-0001
10.55.35.63 ausf_exy9-ccsm-5gdmc-0001
10.55.60.247 ausf_hny9-ccsm-5gdmc-0001
10.55.84.175 ausf_ldy9-ccsm-5gdmc-0001
173.100.3.38 pny9_vts_taut_001_ue_1
173.100.3.39 pny9_vts_taut_001_ue_2
173.100.3.40 pny9_vts_taut_001_ue_3
173.100.3.41 pny9_vts_taut_001_ue_4
173.100.3.42 pny9_vts_taut_001_ue_5
173.100.3.43 pny9_vts_taut_001_ue_6
173.101.6.22 exy9_vts_taut_002_ue_1
173.101.6.23 exy9_vts_taut_002_ue_2
173.101.6.24 exy9_vts_taut_002_ue_3
173.101.6.25 exy9_vts_taut_002_ue_4
173.101.6.26 exy9_vts_taut_002_ue_5
173.101.6.27 exy9_vts_taut_002_ue_6
173.103.129.140 hny9_vts_taut_003_ue_1
173.103.129.141 hny9_vts_taut_003_ue_2
173.103.129.142 hny9_vts_taut_003_ue_3
173.103.129.148 hny9_vts_taut_003_ue_4
173.103.129.149 hny9_vts_taut_003_ue_5
173.103.129.150 hny9_vts_taut_003_ue_6
2.0.0.2 eNODEB
2.0.0.3 gNB
3.0.0.3 cMME
3.0.0.4 AMF
4.0.0.4 HSS
5.0.0.5 SGSN
5.0.0.3 SGSN-MME
6.0.0.6 SGW
7.0.0.7 MSC
8.0.0.8 ESMLC
9.0.0.9 GMLC
10.0.0.10 RNC
11.0.0.11 BSC
12.0.0.12 SAPC
13.0.0.13 HLR
14.0.0.14 SMS-IWMSC-SMS-GMSC
15.0.0.15 SCEF
1.1.1.1 Unknown
10.31.128.26 pny9-mm-5gdmc-0003-CTUM-opnet
10.31.128.26 pny9-mm-5gdmc-0003-OAM-opnet
10.55.249.18 pny9-mm-5gdmc-0003-S11-GTP-C-signet
10.55.249.19 pny9-mm-5gdmc-0003-S10-GTP-C-signet
10.55.249.20 pny9-mm-5gdmc-0003-Gn-GTP-C-signet
10.55.249.21 pny9-mm-5gdmc-0003-DNS-signet
173.100.4.131 pny9-mm-5gdmc-0003-S1-MME-1-s1net
173.100.4.132 pny9-mm-5gdmc-0003-S1-MME-2-s1net
173.100.4.129 pny9-mm-5gdmc-0003-S1-MMEb-1-s1net
173.100.4.130 pny9-mm-5gdmc-0003-S1-MMEb-2-s1net
10.55.249.22 pny9-mm-5gdmc-0003-S6a-1-signet
10.55.249.23 pny9-mm-5gdmc-0003-S6a-2-signet
10.55.249.96 pny9-mm-5gdmc-0003-SLg-1-signet
10.55.249.97 pny9-mm-5gdmc-0003-SLg-2-signet
10.55.249.98 pny9-mm-5gdmc-0003-SLs-1-signet
10.55.249.99 pny9-mm-5gdmc-0003-SLs-2-signet
10.31.217.61 pny9-mm-5gdmc-0003-SGs-1-signet
10.31.217.62 pny9-mm-5gdmc-0003-SGs-2-signet
